,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
13,OBEROIRLTY,26.527997653565365,9.474284876273344,1706.0,1719.15,2,25,1.0,2025-01-29 09:41:46.807606,2025-01-29 15:20:11.519224
14,LICHSGFIN,7.521728350339559,2.6863315536927,575.1,572.25,3,22,1.5,2025-01-29 10:45:34.011590,2025-01-29 15:21:29.295460
15,APOLLOTYRE,6.041475839558574,2.1576699426994908,425.4,423.4,2,11,1.0,2025-01-29 09:15:06.496929,2025-01-29 15:24:18.963637
16,IRFC,2.416239954329372,0.8629428408319185,140.49,141.09,5,15,2.5,2025-01-29 09:31:42.278075,2025-01-29 10:40:10.468593
17,SHRIRAMFIN,8.164492266213921,2.9158900950764006,554.0,551.4,5,25,2.5,2025-01-29 15:12:16.515175,2025-01-29 15:25:47.208821
18,BRITANNIA,58.60741578013582,20.93121992147708,4975.05,5008.85,3,18,1.5,2025-01-29 09:33:32.297386,2025-01-29 13:44:34.902117
19,POWERGRID,3.4155310463497446,1.2198325165534802,288.55,288.05,3,12,1.5,2025-01-29 12:41:23.006224,2025-01-29 15:11:47.415978
20,AXISBANK,9.731206334125636,3.475430833616299,983.95,979.35,3,16,1.5,2025-01-29 09:15:01.130445,2025-01-29 15:29:50.489228
21,ZYDUSLIFE,11.759161117741932,4.199700399193548,936.95,934.9,3,22,1.5,2025-01-29 10:53:46.772093,2025-01-29 15:18:40.599711
22,GRANULES,8.152032941256364,2.911440336162987,531.35,535.8,6,26,3.0,2025-01-29 09:31:13.616733,2025-01-29 15:29:22.462218
23,APOLLOHOSP,74.65454152971138,26.66233626061121,6723.385483870968,6771.8,0,8,0.0,2025-01-29 09:11:48.318825,2025-01-29 15:23:36.427828
24,ABFRL,4.150079364516127,1.4821712016129027,266.85,266.7,4,15,2.0,2025-01-29 11:24:49.952392,2025-01-29 14:49:38.346519
25,JKCEMENT,58.55848673565367,20.913745262733453,4885.1,4906.3,4,26,2.0,2025-01-29 12:43:51.709908,2025-01-29 13:45:09.680073
26,NMDC,1.0672736715789473,0.3811691684210526,65.87,65.95,1,7,0.5,2025-01-29 10:09:18.933386,2025-01-29 15:20:31.982222
27,ASIANPAINT,23.68662990657895,8.459510680921055,2217.05,2221.3,2,13,1.0,2025-01-29 13:15:26.343151,2025-01-29 15:05:08.545533
28,AMBUJACEM,7.554599864855688,2.698071380305603,518.4,521.4,11,66,5.5,2025-01-29 15:19:42.961844,2025-01-29 15:21:33.486824
29,SUPREMEIND,58.00710664023767,20.71682380008488,3823.0,3827.55,4,20,2.0,2025-01-29 15:05:11.399643,2025-01-29 15:10:57.120103
30,BANKINDIA,1.480441118709677,0.5287289709677419,111.08,110.96,4,21,2.0,2025-01-29 15:17:56.869286,2025-01-29 15:04:33.152530
31,KPITTECH,25.276193878098475,9.027212099320884,1364.55,1370.0,13,87,6.5,2025-01-29 13:45:28.251789,2025-01-29 14:31:50.570364
32,CUB,2.470491754363328,0.8823184837011883,172.0,172.63,3,13,1.5,2025-01-29 10:12:30.585261,2025-01-29 11:37:45.313801
33,HDFCBANK,13.324112774617998,4.758611705220714,1675.0,1674.9,3,11,1.5,2025-01-29 09:15:01.130445,2025-01-29 11:31:25.220903
34,CUMMINSIND,40.47314766621392,14.454695595076402,2820.0,2839.8,3,17,1.5,2025-01-29 11:24:30.625399,2025-01-29 12:42:02.341174
35,BHARTIARTL,16.248417740662138,5.803006335950764,1595.8,1602.8,1,10,0.5,2025-01-29 14:57:16.193721,2025-01-29 15:08:10.744301
36,GODREJCP,11.595903932088287,4.141394261460103,1115.1,1115.0,1,15,0.5,2025-01-29 09:18:13.495251,2025-01-29 15:20:03.324775
37,BANDHANBNK,9999999.0,2499999.75,150.72580645161293,150.72580645161293,0,0,0.0,2025-01-29 09:11:48.318825,2025-01-29 09:11:48.318825
38,CIPLA,16.90443455539049,6.037298055496604,1416.35,1423.1,5,35,2.5,2025-01-29 09:47:52.101037,2025-01-29 10:51:10.096624
39,GODREJPROP,37.33095261748726,13.332483077674024,2210.85,2227.35,3,13,1.5,2025-01-29 10:23:46.468441,2025-01-29 14:00:39.540516
40,GLENMARK,20.76641490594227,7.41657675212224,1451.0,1462.35,2,11,1.0,2025-01-29 12:42:53.951012,2025-01-29 15:29:50.489228
41,GMRAIRPORT,1.1705361892190154,0.4180486390067912,71.14,71.37,4,23,2.0,2025-01-29 12:45:44.125948,2025-01-29 15:12:34.102785
42,GNFC,7.712837251273341,2.754584732597622,544.4,549.85,3,17,1.5,2025-01-29 10:23:34.515777,2025-01-29 15:29:47.718212
43,MARUTI,121.91336382640064,43.54048708085738,11926.0,11914.25,5,40,2.5,2025-01-29 13:58:40.979594,2025-01-29 14:37:24.402277
44,MARICO,7.903808167529714,2.8227886312606123,672.0,672.5,4,17,2.0,2025-01-29 15:21:15.136468,2025-01-29 15:20:45.688491
45,ASTRAL,18.686722531069613,6.673829475382004,1484.45,1472.5,1,9,0.5,2025-01-29 09:44:00.046124,2025-01-29 11:23:29.862833
46,LTIM,64.04611721795416,22.873613292126485,5895.1,5880.05,3,13,1.5,2025-01-29 13:27:22.304577,2025-01-29 15:03:41.116080
47,INDIAMART,9999999.0,2499999.75,2085.809677419355,2085.809677419355,0,0,0.0,2025-01-29 09:11:48.318825,2025-01-29 09:11:48.318825
48,ICICIGI,21.852778567741936,7.80456377419355,1831.0,1848.9,4,13,2.0,2025-01-29 14:03:14.424166,2025-01-29 15:27:01.241612
49,MPHASIS,39.34552966723259,14.051974881154498,2982.0,3003.95,3,16,1.5,2025-01-29 13:29:32.093694,2025-01-29 14:28:01.402493
50,M&M,35.25179214367572,12.589925765598473,2921.95,2921.95,2,16,1.0,2025-01-29 13:55:03.395096,2025-01-29 13:55:03.395096
51,LAURUSLABS,8.988205977079797,3.210073563242785,548.45,550.7,7,21,3.5,2025-01-29 15:28:56.658679,2025-01-29 15:29:10.893182
